level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology	is_new
#building_levels_tables;7;db/building_levels_tables/_Unused_EE_building_levels																																			
all_mine_1	all_mine	0		20	12000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201000	true	rom_Industry_Secondary_Mine	workshop	true	false
all_mine_2	all_mine	1		30	19500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201001	true	rom_Industry_Secondary_Mine	workshop	true	false
all_mine_3	all_mine	2		50	45000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201002	true	rom_Industry_Secondary_Mine	workshop	true	false
all_mine_4	all_mine	3		80	99000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201003	true	rom_Industry_Secondary_Mine	workshop	true	false
barb_agriculture_1	barb_agriculture	0		20	10500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201004	true		general_civic	true	false
barb_agriculture_cattle_2	barb_agriculture	1		30	21000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201005	true	rom_Economic_Secondary_Food_Cattle	general_civic	true	false
barb_agriculture_cattle_3	barb_agriculture	2		50	39000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201006	true	rom_Economic_Secondary_Food_Cattle	general_civic	true	false
barb_agriculture_cattle_4	barb_agriculture	3		80	77400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201007	true	rom_Economic_Secondary_Food_Cattle	general_civic	true	false
barb_agriculture_farm_2	barb_agriculture	1		30	18000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201008	true	rom_Economic_Secondary_Food_Farm	general_civic	true	false
barb_agriculture_farm_3	barb_agriculture	2		50	30000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	201009	true	rom_Economic_Secondary_Food_Farm	general_civic	true	false
