level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/NewGC_building_levels																																		
rom_EASTERN_local_temple_1a_numidia	rom_EASTERN_local_temple_numidia	0		12	6000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	255000	true		eastern_temple	true
rom_EASTERN_local_temple_imperial_2a_numidia	rom_EASTERN_local_temple_numidia	1		18	12000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	255001	true	rom_Temple_Imperial_Cult	eastern_temple	true
rom_EASTERN_local_temple_imperial_3a_numidia	rom_EASTERN_local_temple_numidia	2		30	23250	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	255002	true	rom_Temple_Imperial_Cult	eastern_temple	true
rom_EASTERN_local_temple_imperial_4a_numidia	rom_EASTERN_local_temple_numidia	3		48	45135	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl4	255003	true	rom_Temple_Imperial_Cult	eastern_temple	true
rom_EASTERN_local_temple_necropolis_2a_numidia	rom_EASTERN_local_temple_numidia	1		18	9750	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	255004	true	rom_Temple_Necropolis	eastern_temple	true
rom_EASTERN_local_temple_necropolis_3a_numidia	rom_EASTERN_local_temple_numidia	2		30	16500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	255005	true	rom_Temple_Necropolis	eastern_temple	true
rom_EASTERN_local_temple_necropolis_4a_numidia	rom_EASTERN_local_temple_numidia	3		48	36000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	255006	true	rom_Temple_Necropolis	eastern_temple	true
rom_EASTERN_local_temple_zoroastrian_2a_numidia	rom_EASTERN_local_temple_numidia	1		18	9000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	255007	true	rom_Temple_Zoroastrian	eastern_temple	true
rom_EASTERN_local_temple_zoroastrian_3a_numidia	rom_EASTERN_local_temple_numidia	2		30	12000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	255008	true	rom_Temple_Zoroastrian	eastern_temple	true
